# Coverage ledger — built from read-agent RETURNS, not from claims.
# status	path	lines	mode	agent
PENDING	.claude/CLAUDE.md	-	-	-
PENDING	.claude/hooks/README.md	-	-	-
PENDING	.claude/hooks/change_guard.py	-	-	-
PENDING	.claude/hooks/doc-routes.json	-	-	-
PENDING	.claude/hooks/git_state_guard.py	-	-	-
PENDING	.claude/hooks/owner_review.py	-	-	-
PENDING	.claude/hooks/read_before_write.py	-	-	-
PENDING	.claude/hooks/route_docs.py	-	-	-
PENDING	.claude/hooks/trigger_tools_guard.py	-	-	-
PENDING	.claude/settings.json	-	-	-
PENDING	.claude/skills/analysis/SKILL.md	-	-	-
PENDING	.claude/skills/asset-pipeline/SKILL.md	-	-	-
PENDING	.claude/skills/audio-prompt/SKILL.md	-	-	-
PENDING	.claude/skills/capability-probe/SKILL.md	-	-	-
PENDING	.claude/skills/chase-references/SKILL.md	-	-	-
PENDING	.claude/skills/continuation-prompt/SKILL.md	-	-	-
PENDING	.claude/skills/cover-art-prompt/SKILL.md	-	-	-
PENDING	.claude/skills/decision-capture/SKILL.md	-	-	-
PENDING	.claude/skills/deep-research/SKILL.md	-	-	-
PENDING	.claude/skills/delegate-read/SKILL.md	-	-	-
PENDING	.claude/skills/image-prompt/SKILL.md	-	-	-
PENDING	.claude/skills/implementation-prompt/SKILL.md	-	-	-
PENDING	.claude/skills/intake/SKILL.md	-	-	-
PENDING	.claude/skills/owner-brief/SKILL.md	-	-	-
PENDING	.claude/skills/parallax-prompt/SKILL.md	-	-	-
PENDING	.claude/skills/prep-owner-steps/SKILL.md	-	-	-
PENDING	.claude/skills/prompt-preflight/SKILL.md	-	-	-
PENDING	.claude/skills/quality-gate/SKILL.md	-	-	-
PENDING	.claude/skills/question/SKILL.md	-	-	-
PENDING	.claude/skills/rationalize/SKILL.md	-	-	-
PENDING	.claude/skills/release/SKILL.md	-	-	-
PENDING	.claude/skills/repo-health/SKILL.md	-	-	-
PENDING	.claude/skills/review/SKILL.md	-	-	-
PENDING	.claude/skills/scope-backlog-item/SKILL.md	-	-	-
PENDING	.claude/skills/session-close/SKILL.md	-	-	-
PENDING	.claude/skills/sprite-prompt/SKILL.md	-	-	-
PENDING	.claude/skills/upgrade-distribution/SKILL.md	-	-	-
PENDING	.gitattributes	-	-	-
PENDING	.github/workflows/merge-on-green.yml	-	-	-
PENDING	.github/workflows/roster-freshness.yml	-	-	-
PENDING	.github/workflows/roster-regen.yml	-	-	-
PENDING	.github/workflows/substrate-gate.yml	-	-	-
PENDING	.gitignore	-	-	-
PENDING	.ignore	-	-	-
PENDING	.session-journal.md	-	-	-
PENDING	.sessions/2026-07-09-ci-tier-standard.md	-	-	-
PENDING	.sessions/2026-07-09-game-lab-founding.md	-	-	-
PENDING	.sessions/2026-07-09-gen1-winddown-prompt.md	-	-	-
PENDING	.sessions/2026-07-09-housekeeping-verification.md	-	-	-
PENDING	.sessions/2026-07-09-ideas-r21-handoff.md	-	-	-
PENDING	.sessions/2026-07-09-merge-authority-env-archetypes.md	-	-	-
PENDING	.sessions/2026-07-09-ping-ack-gen2-finalization.md	-	-	-
PENDING	.sessions/2026-07-09-seed-home-repo.md	-	-	-
PENDING	.sessions/2026-07-09-succession-package.md	-	-	-
PENDING	.sessions/2026-07-10-archive-prep.md	-	-	-
PENDING	.sessions/2026-07-10-chain-order-009-010.md	-	-	-
PENDING	.sessions/2026-07-10-chain-slice-4.md	-	-	-
PENDING	.sessions/2026-07-10-chain-slice-5-sbgames16-verify.md	-	-	-
PENDING	.sessions/2026-07-10-chain-slice-6-sbgames5-verify.md	-	-	-
PENDING	.sessions/2026-07-10-coordinator-boot.md	-	-	-
PENDING	.sessions/2026-07-10-custom-instructions-full-paste.md	-	-	-
PENDING	.sessions/2026-07-10-fable5-review-landing.md	-	-	-
PENDING	.sessions/2026-07-10-kit-upgrade-v1.7.1.md	-	-	-
PENDING	.sessions/2026-07-10-kit-upgrade-v170.md	-	-	-
PENDING	.sessions/2026-07-10-launch-readiness-heartbeat.md	-	-	-
PENDING	.sessions/2026-07-10-launch-readiness.md	-	-	-
PENDING	.sessions/2026-07-10-model-attribution-finding.md	-	-	-
PENDING	.sessions/2026-07-10-morning-consolidation.md	-	-	-
PENDING	.sessions/2026-07-10-night-review-landing.md	-	-	-
PENDING	.sessions/2026-07-10-night-review-remediation.md	-	-	-
PENDING	.sessions/2026-07-10-order-003-007-review-queue.md	-	-	-
PENDING	.sessions/2026-07-10-order-004-economics-ledger.md	-	-	-
PENDING	.sessions/2026-07-10-order-012-games-mapping.md	-	-	-
PENDING	.sessions/2026-07-10-order-013-games-conformed.md	-	-	-
PENDING	.sessions/2026-07-10-package-registry.md	-	-	-
PENDING	.sessions/2026-07-10-permissions-doctrine.md	-	-	-
PENDING	.sessions/2026-07-10-q0265-doctrine-fold.md	-	-	-
PENDING	.sessions/2026-07-10-registry-gap-closure.md	-	-	-
PENDING	.sessions/2026-07-10-round3-standing-debts.md	-	-	-
PENDING	.sessions/2026-07-10-routine-wall-correction.md	-	-	-
PENDING	.sessions/2026-07-10-ultracode-verification.md	-	-	-
PENDING	.sessions/2026-07-10-universal-permissions-block.md	-	-	-
PENDING	.sessions/2026-07-10-universal-pointer-prompts.md	-	-	-
PENDING	.sessions/2026-07-10-wake-1631-order-002.md	-	-	-
PENDING	.sessions/2026-07-10-wake-1831-doctrine.md	-	-	-
PENDING	.sessions/2026-07-10-wake-drain-roster.md	-	-	-
PENDING	.sessions/2026-07-10-wake-heartbeat.md	-	-	-
PENDING	.sessions/2026-07-11-archive-prep-closeout.md	-	-	-
PENDING	.sessions/2026-07-11-chain-slice-7-roster3-trading21.md	-	-	-
PENDING	.sessions/2026-07-11-coordinator-archive-closeout.md	-	-	-
PENDING	.sessions/2026-07-11-f1-cutover-record.md	-	-	-
PENDING	.sessions/2026-07-11-file-017-018-catchup.md	-	-	-
PENDING	.sessions/2026-07-11-forge-relay-chain-idle.md	-	-	-
PENDING	.sessions/2026-07-11-gen-roster-mechanization.md	-	-	-
PENDING	.sessions/2026-07-11-heartbeat-2350.md	-	-	-
PENDING	.sessions/2026-07-11-instruction-env-audit.md	-	-	-
PENDING	.sessions/2026-07-11-kit-upgrade-v1.10.0.md	-	-	-
PENDING	.sessions/2026-07-11-kit-upgrade-v1.10.1.md	-	-	-
PENDING	.sessions/2026-07-11-kit-upgrade-v1.11.0.md	-	-	-
PENDING	.sessions/2026-07-11-kit-upgrade-v1.8.0.md	-	-	-
PENDING	.sessions/2026-07-11-kit-upgrade-v1.9.0.md	-	-	-
PENDING	.sessions/2026-07-11-kit-v1-12-0-upgrade.md	-	-	-
PENDING	.sessions/2026-07-11-kit-v1121-upgrade.md	-	-	-
PENDING	.sessions/2026-07-11-mineverse-retro-registry.md	-	-	-
PENDING	.sessions/2026-07-11-order-010-relay-owner-queue.md	-	-	-
PENDING	.sessions/2026-07-11-order-015-registry-centralization.md	-	-	-
PENDING	.sessions/2026-07-11-order-016-audit-actions.md	-	-	-
PENDING	.sessions/2026-07-11-order-017-instruction-reissue.md	-	-	-
PENDING	.sessions/2026-07-11-order-018-env-consolidation.md	-	-	-
PENDING	.sessions/2026-07-11-owner-codex-fleetwide.md	-	-	-
PENDING	.sessions/2026-07-11-owner-queue-verified-refresh.md	-	-	-
PENDING	.sessions/2026-07-11-p1-freshness-custodian.md	-	-	-
PENDING	.sessions/2026-07-11-p2-queue-generation.md	-	-	-
PENDING	.sessions/2026-07-11-p3-coverage-index.md	-	-	-
PENDING	.sessions/2026-07-11-permission-rules-port.md	-	-	-
PENDING	.sessions/2026-07-11-relay-completion.md	-	-	-
PENDING	.sessions/2026-07-11-restructure-prompts-slice2.md	-	-	-
PENDING	.sessions/2026-07-11-restructure-roster-slice3.md	-	-	-
PENDING	.sessions/2026-07-11-restructure-seats.md	-	-	-
PENDING	.sessions/2026-07-11-review-queue-verify-8-12.md	-	-	-
PENDING	.sessions/2026-07-11-roster-gen-4.md	-	-	-
PENDING	.sessions/2026-07-11-roster-gen-5-sweep.md	-	-	-
PENDING	.sessions/2026-07-11-roster-gen-6.md	-	-	-
PENDING	.sessions/2026-07-11-universal-v4-merge-clause.md	-	-	-
PENDING	.sessions/2026-07-12-consolidation-plan-v34.md	-	-	-
PENDING	.sessions/2026-07-12-consolidation-reset-plan.md	-	-	-
PENDING	.sessions/2026-07-12-coordinator-closeout.md	-	-	-
PENDING	.sessions/2026-07-12-external-research-prompt.md	-	-	-
PENDING	.sessions/2026-07-12-heartbeat-v33.md	-	-	-
PENDING	.sessions/2026-07-12-kit-upgrade-v1.15.0.md	-	-	-
PENDING	.sessions/2026-07-12-kit-upgrade-v1130.md	-	-	-
PENDING	.sessions/2026-07-12-kit-upgrade-v1140.md	-	-	-
